YEAR,MONTH,VEGETABLE NAME,PRICE,UNITS,SHOPPING MALL PRICE
2022,feburary,Cucumber,15,1kg,18 - 25
2022,feburary,Curry Leaves,41,1kg,49 - 68
2022,feburary,Dill Leaves,12,1kg,14 - 20
2022,feburary,Drumsticks,130,1kg,156 - 215
2022,feburary,Brinjal,29,1kg,35 - 48
2022,feburary,Brinjal (Big),60,1kg,72 - 99
2022,feburary,Elephant Yam,24,1kg,29 - 40
2022,feburary,Fenugreek Leaves,11,1kg,13 - 18
2022,feburary,French Beans,41,1kg,49 - 68
2022,feburary,Garlic,64,1kg,77 - 106
2022,feburary,Ginger,31,1kg,37 - 51
2022,feburary,Onion Green,44,1kg,53 - 73
2022,feburary,Green Peas,51,1kg,61 - 84
2022,feburary,Ivy Gourd,37,1kg,44 - 61
2022,feburary,Lemon (Lime),39,1kg,47 - 64
2022,feburary,Mango Raw,81,1kg,97 - 134
2022,feburary,Mint Leaves,6,1kg,7-Oct
2022,feburary,Mushroom,88,1kg,106 - 145
2022,feburary,Mustard Leaves,16,1kg,19 - 26
2022,feburary,Ladies Finger,59,1kg,71 - 97
2022,feburary,Pumpkin,21,1kg,25 - 35
2022,feburary,Radish,23,1kg,28 - 38
2022,feburary,Ridge Gourd,29,1kg,35 - 48
2022,feburary,Shallot (Pearl Onion),34,1kg,41 - 56
2022,feburary,Snake Gourd,25,1kg,30 - 41
2022,feburary,Sorrel Leaves,12,1kg,14 - 20
2022,feburary,Spinach,10,1kg,Dec-17
2022,feburary,Sweet Potato,40,1kg,48 - 66
2022,feburary,Onion Big,33,1kg,40 - 54
2022,feburary,Onion Small,65,1kg,78 - 107
2022,feburary,Tomato,18,1kg,22 - 30
2022,feburary,Green Chilli,39,1kg,47 - 64
2022,feburary,Beetroot,50,1kg,60 - 83
2022,feburary,Potato,26,1kg,31 - 43
2022,feburary,Raw Banana (Plantain),5,1kg,6-Aug
2022,feburary,Amaranth Leaves,18,1kg,22 - 30
2022,feburary,Amla,50,1kg,60 - 83
2022,feburary,Ash gourd,28,1kg,34 - 46
2022,feburary,Baby Corn,58,1kg,70 - 96
2022,feburary,Banana Flower,16,1kg,19 - 26
2022,feburary,Capsicum,48,1kg,58 - 79
2022,feburary,Bitter Gourd,33,1kg,40 - 54
2022,feburary,Bottle Gourd,28,1kg,34 - 46
2022,feburary,Butter Beans,43,1kg,52 - 71
2022,feburary,Broad Beans,47,1kg,56 - 78
2022,feburary,Cabbage,27,1kg,32 - 45
2022,feburary,Carrot,70,1kg,84 - 116
2022,feburary,Cauliflower,42,1kg,50 - 69
2022,feburary,Cluster beans,46,1kg,55 - 76
2022,feburary,Coconut,35,1kg,42 - 58
2022,feburary,Colocasia Leaves,13,1kg,16 - 21
2022,feburary,Colocasia,27,1kg,32 - 45
2022,feburary,Coriander Leaves,7,1kg,8-Dec
2022,feburary,Corn,35,1kg,42 - 58
2022,feburary,Cucumber,15,1kg,18 - 25
2022,feburary,Curry Leaves,41,1kg,49 - 68
2022,feburary,Dill Leaves,12,1kg,14 - 20
2022,feburary,Drumsticks,130,1kg,156 - 215
2022,feburary,Brinjal,29,1kg,35 - 48
2022,feburary,Brinjal (Big),60,1kg,72 - 99
2022,feburary,Elephant Yam,24,1kg,29 - 40
2022,feburary,Fenugreek Leaves,11,1kg,13 - 18
2022,feburary,French Beans,41,1kg,49 - 68
2022,feburary,Garlic,64,1kg,77 - 106
2022,feburary,Ginger,31,1kg,37 - 51
2022,feburary,Onion Green,44,1kg,53 - 73
2022,feburary,Green Peas,51,1kg,61 - 84
2022,feburary,Ivy Gourd,37,1kg,44 - 61
2022,feburary,Lemon (Lime),39,1kg,47 - 64
2022,feburary,Mango Raw,81,1kg,97 - 134
2022,feburary,Mint Leaves,6,1kg,7-Oct
2022,feburary,Mushroom,88,1kg,106 - 145
2022,feburary,Mustard Leaves,16,1kg,19 - 26
2022,feburary,Ladies Finger,59,1kg,71 - 97
2022,feburary,Pumpkin,21,1kg,25 - 35
2022,feburary,Radish,23,1kg,28 - 38
2022,feburary,Ridge Gourd,29,1kg,35 - 48
2022,feburary,Shallot (Pearl Onion),34,1kg,41 - 56
2022,feburary,Snake Gourd,25,1kg,30 - 41
2022,feburary,Sorrel Leaves,12,1kg,14 - 20
2022,feburary,Spinach,10,1kg,Dec-17
2022,feburary,Sweet Potato,40,1kg,48 - 66
2022,feburary,Onion Big,38,1kg,46 - 63
2022,feburary,Onion Small,62,1kg,74 - 102
2022,feburary,Tomato,20,1kg,24 - 33
2022,feburary,Green Chilli,37,1kg,44 - 61
2022,feburary,Beetroot,46,1kg,55 - 76
2022,feburary,Potato,26,1kg,31 - 43
2022,feburary,Raw Banana (Plantain),6,1kg,7-Oct
2022,feburary,Amaranth Leaves,15,1kg,18 - 25
2022,feburary,Amla,50,1kg,60 - 83
2022,feburary,Ash gourd,25,1kg,30 - 41
2022,feburary,Baby Corn,53,1kg,64 - 87
2022,feburary,Banana Flower,15,1kg,18 - 25
2022,feburary,Capsicum,44,1kg,53 - 73
2022,feburary,Bitter Gourd,33,1kg,40 - 54
2022,feburary,Bottle Gourd,27,1kg,32 - 45
2022,feburary,Butter Beans,43,1kg,52 - 71
2022,feburary,Broad Beans,41,1kg,49 - 68
2022,feburary,Cabbage,29,1kg,35 - 48
2022,feburary,Carrot,67,1kg,80 - 111
2022,feburary,Cauliflower,44,1kg,53 - 73
2022,feburary,Cluster beans,47,1kg,56 - 78
2022,feburary,Coconut,33,1kg,40 - 54
2022,feburary,Colocasia Leaves,14,1kg,17 - 23
2022,feburary,Colocasia,25,1kg,30 - 41
2022,feburary,Coriander Leaves,11,1kg,13 - 18
2022,feburary,Corn,32,1kg,38 - 53
2022,feburary,Cucumber,16,1kg,19 - 26
2022,feburary,Curry Leaves,42,1kg,50 - 69
2022,feburary,Dill Leaves,14,1kg,17 - 23
2022,feburary,Drumsticks,120,1kg,144 - 198
2022,feburary,Brinjal,26,1kg,31 - 43
2022,feburary,Brinjal (Big),62,1kg,74 - 102
2022,feburary,Elephant Yam,24,1kg,29 - 40
2022,feburary,Fenugreek Leaves,14,1kg,17 - 23
2022,feburary,French Beans,42,1kg,50 - 69
2022,feburary,Garlic,66,1kg,79 - 109
2022,feburary,Ginger,29,1kg,35 - 48
2022,feburary,Onion Green,36,1kg,43 - 59
2022,feburary,Green Peas,56,1kg,67 - 92
2022,feburary,Ivy Gourd,32,1kg,38 - 53
2022,feburary,Lemon (Lime),39,1kg,47 - 64
2022,feburary,Mango Raw,78,1kg,94 - 129
2022,feburary,Mint Leaves,10,1kg,Dec-17
2022,feburary,Mushroom,75,1kg,90 - 124
2022,feburary,Mustard Leaves,16,1kg,19 - 26
2022,feburary,Ladies Finger,54,1kg,65 - 89
2022,feburary,Pumpkin,26,1kg,31 - 43
2022,feburary,Radish,20,1kg,24 - 33
2022,feburary,Ridge Gourd,30,1kg,36 - 50
2022,feburary,Shallot (Pearl Onion),31,1kg,37 - 51
2022,feburary,Snake Gourd,27,1kg,32 - 45
2022,feburary,Sorrel Leaves,13,1kg,16 - 21
2022,feburary,Spinach,12,1kg,14 - 20
2022,feburary,Sweet Potato,40,1kg,48 - 66
2022,feburary,Onion Big,38,1kg,46 - 63
2022,feburary,Onion Small,62,1kg,74 - 102
2022,feburary,Tomato,20,1kg,24 - 33
2022,feburary,Green Chilli,37,1kg,44 - 61
2022,feburary,Beetroot,46,1kg,55 - 76
2022,feburary,Potato,26,1kg,31 - 43
2022,feburary,Raw Banana (Plantain),6,1kg,7-Oct
2022,feburary,Amaranth Leaves,15,1kg,18 - 25
2022,feburary,Amla,50,1kg,60 - 83
2022,feburary,Ash gourd,25,1kg,30 - 41
2022,feburary,Baby Corn,53,1kg,64 - 87
2022,feburary,Banana Flower,15,1kg,18 - 25
2022,feburary,Capsicum,44,1kg,53 - 73
2022,feburary,Bitter Gourd,33,1kg,40 - 54
2022,feburary,Bottle Gourd,27,1kg,32 - 45
2022,feburary,Butter Beans,43,1kg,52 - 71
2022,feburary,Broad Beans,41,1kg,49 - 68
2022,feburary,Cabbage,29,1kg,35 - 48
2022,feburary,Carrot,67,1kg,80 - 111
2022,feburary,Cauliflower,44,1kg,53 - 73
2022,feburary,Cluster beans,47,1kg,56 - 78
2022,feburary,Coconut,33,1kg,40 - 54
2022,feburary,Colocasia Leaves,14,1kg,17 - 23
2022,feburary,Colocasia,25,1kg,30 - 41
2022,feburary,Coriander Leaves,11,1kg,13 - 18
2022,feburary,Corn,32,1kg,38 - 53
2022,feburary,Cucumber,16,1kg,19 - 26
2022,feburary,Curry Leaves,42,1kg,50 - 69
2022,feburary,Dill Leaves,14,1kg,17 - 23
2022,feburary,Drumsticks,120,1kg,144 - 198
2022,feburary,Brinjal,26,1kg,31 - 43
2022,feburary,Brinjal (Big),62,1kg,74 - 102
2022,feburary,Elephant Yam,24,1kg,29 - 40
2022,feburary,Fenugreek Leaves,14,1kg,17 - 23
2022,feburary,French Beans,42,1kg,50 - 69
2022,feburary,Garlic,66,1kg,79 - 109
2022,feburary,Ginger,29,1kg,35 - 48
2022,feburary,Onion Green,36,1kg,43 - 59
2022,feburary,Green Peas,56,1kg,67 - 92
2022,feburary,Ivy Gourd,32,1kg,38 - 53
2022,feburary,Lemon (Lime),39,1kg,47 - 64
2022,feburary,Mango Raw,78,1kg,94 - 129
2022,feburary,Mint Leaves,10,1kg,Dec-17
2022,feburary,Mushroom,75,1kg,90 - 124
2022,feburary,Mustard Leaves,16,1kg,19 - 26
2022,feburary,Ladies Finger,54,1kg,65 - 89
2022,feburary,Pumpkin,26,1kg,31 - 43
2022,feburary,Radish,20,1kg,24 - 33
2022,feburary,Ridge Gourd,30,1kg,36 - 50
2022,feburary,Shallot (Pearl Onion),31,1kg,37 - 51
2022,feburary,Snake Gourd,27,1kg,32 - 45
2022,feburary,Sorrel Leaves,13,1kg,16 - 21
2022,feburary,Spinach,12,1kg,14 - 20
2022,feburary,Sweet Potato,40,1kg,48 - 66
2022,feburary,Onion Big,38,1kg,46 - 63
2022,feburary,Onion Small,62,1kg,74 - 102
2022,feburary,Tomato,20,1kg,24 - 33
2022,feburary,Green Chilli,37,1kg,44 - 61
2022,feburary,Beetroot,46,1kg,55 - 76
2022,feburary,Potato,26,1kg,31 - 43
2022,feburary,Raw Banana (Plantain),6,1kg,7-Oct
2022,feburary,Amaranth Leaves,15,1kg,18 - 25
2022,feburary,Amla,50,1kg,60 - 83
2022,feburary,Ash gourd,25,1kg,30 - 41
2022,feburary,Baby Corn,53,1kg,64 - 87
2022,feburary,Banana Flower,15,1kg,18 - 25
2022,feburary,Capsicum,44,1kg,53 - 73
2022,feburary,Bitter Gourd,33,1kg,40 - 54
2022,feburary,Bottle Gourd,27,1kg,32 - 45
2022,feburary,Butter Beans,43,1kg,52 - 71
2022,feburary,Broad Beans,41,1kg,49 - 68
2022,feburary,Cabbage,29,1kg,35 - 48
2022,feburary,Carrot,67,1kg,80 - 111
2022,feburary,Cauliflower,44,1kg,53 - 73
2022,feburary,Cluster beans,47,1kg,56 - 78
2022,feburary,Coconut,33,1kg,40 - 54
2022,feburary,Colocasia Leaves,14,1kg,17 - 23
2022,feburary,Colocasia,25,1kg,30 - 41
2022,feburary,Coriander Leaves,11,1kg,13 - 18
2022,feburary,Corn,32,1kg,38 - 53
2022,feburary,Cucumber,16,1kg,19 - 26
2022,feburary,Curry Leaves,42,1kg,50 - 69
2022,feburary,Dill Leaves,14,1kg,17 - 23
2022,feburary,Drumsticks,120,1kg,144 - 198
2022,feburary,Brinjal,26,1kg,31 - 43
2022,feburary,Brinjal (Big),62,1kg,74 - 102
2022,feburary,Elephant Yam,24,1kg,29 - 40
2022,feburary,Fenugreek Leaves,14,1kg,17 - 23
2022,feburary,French Beans,42,1kg,50 - 69
2022,feburary,Garlic,66,1kg,79 - 109
2022,feburary,Ginger,29,1kg,35 - 48
2022,feburary,Onion Green,36,1kg,43 - 59
2022,feburary,Green Peas,56,1kg,67 - 92
2022,feburary,Ivy Gourd,32,1kg,38 - 53
2022,feburary,Lemon (Lime),39,1kg,47 - 64
2022,feburary,Mango Raw,78,1kg,94 - 129
2022,feburary,Mint Leaves,10,1kg,Dec-17
2022,feburary,Mushroom,75,1kg,90 - 124
2022,feburary,Mustard Leaves,16,1kg,19 - 26
2022,feburary,Ladies Finger,54,1kg,65 - 89
2022,feburary,Pumpkin,26,1kg,31 - 43
2022,feburary,Radish,20,1kg,24 - 33
2022,feburary,Ridge Gourd,30,1kg,36 - 50
2022,feburary,Shallot (Pearl Onion),31,1kg,37 - 51
2022,feburary,Snake Gourd,27,1kg,32 - 45
2022,feburary,Sorrel Leaves,13,1kg,16 - 21
2022,feburary,Spinach,12,1kg,14 - 20
2022,feburary,Sweet Potato,40,1kg,48 - 66
2022,feburary,Onion Big,37,1kg,44 - 61
2022,feburary,Onion Small,63,1kg,76 - 104
2022,feburary,Tomato,19,1kg,23 - 31
2022,feburary,Green Chilli,55,1kg,66 - 91
2022,feburary,Beetroot,49,1kg,59 - 81
2022,feburary,Potato,20,1kg,24 - 33
2022,feburary,Raw Banana (Plantain),7,1kg,8-Dec
2022,feburary,Amaranth Leaves,12,1kg,14 - 20
2022,feburary,Amla,50,1kg,60 - 83
2022,feburary,Ash gourd,21,1kg,25 - 35
2022,feburary,Baby Corn,56,1kg,67 - 92
2022,feburary,Banana Flower,19,1kg,23 - 31
2022,feburary,Capsicum,42,1kg,50 - 69
2022,feburary,Bitter Gourd,36,1kg,43 - 59
2022,feburary,Bottle Gourd,28,1kg,34 - 46
2022,feburary,Butter Beans,48,1kg,58 - 79
2022,feburary,Broad Beans,47,1kg,56 - 78
2022,feburary,Cabbage,26,1kg,31 - 43
2022,feburary,Carrot,72,1kg,86 - 119
2022,feburary,Cauliflower,43,1kg,52 - 71
2022,feburary,Cluster beans,41,1kg,49 - 68
2022,feburary,Coconut,37,1kg,44 - 61
2022,feburary,Colocasia Leaves,12,1kg,14 - 20
2022,feburary,Colocasia,26,1kg,31 - 43
2022,feburary,Coriander Leaves,11,1kg,13 - 18
2022,feburary,Corn,33,1kg,40 - 54
2022,feburary,Cucumber,15,1kg,18 - 25
2022,feburary,Curry Leaves,40,1kg,48 - 66
2022,feburary,Dill Leaves,16,1kg,19 - 26
2022,feburary,Drumsticks,140,1kg,168 - 231
2022,feburary,Brinjal,29,1kg,35 - 48
2022,feburary,Brinjal (Big),65,1kg,78 - 107
2022,feburary,Elephant Yam,26,1kg,31 - 43
2022,feburary,Fenugreek Leaves,15,1kg,18 - 25
2022,feburary,French Beans,35,1kg,42 - 58
2022,feburary,Garlic,68,1kg,82 - 112
2022,feburary,Ginger,41,1kg,49 - 68
2022,feburary,Onion Green,44,1kg,53 - 73
2022,feburary,Green Peas,48,1kg,58 - 79
2022,feburary,Ivy Gourd,29,1kg,35 - 48
2022,feburary,Lemon (Lime),38,1kg,46 - 63
2022,feburary,Mango Raw,77,1kg,92 - 127
2022,feburary,Mint Leaves,10,1kg,Dec-17
2022,feburary,Mushroom,78,1kg,94 - 129
2022,feburary,Mustard Leaves,17,1kg,20 - 28
2022,feburary,Ladies Finger,59,1kg,71 - 97
2022,feburary,Pumpkin,23,1kg,28 - 38
2022,feburary,Radish,24,1kg,29 - 40
2022,feburary,Ridge Gourd,34,1kg,41 - 56
2022,feburary,Shallot (Pearl Onion),33,1kg,40 - 54
2022,feburary,Snake Gourd,28,1kg,34 - 46
2022,feburary,Sorrel Leaves,10,1kg,Dec-17
2022,feburary,Spinach,12,1kg,14 - 20
2022,feburary,Sweet Potato,37,1kg,44 - 61
2022,feburary,Onion Big,37,1kg,44 - 61
2022,feburary,Onion Small,63,1kg,76 - 104
2022,feburary,Tomato,19,1kg,23 - 31
2022,feburary,Green Chilli,55,1kg,66 - 91
2022,feburary,Beetroot,49,1kg,59 - 81
2022,feburary,Potato,20,1kg,24 - 33
2022,feburary,Raw Banana (Plantain),7,1kg,8-Dec
2022,feburary,Amaranth Leaves,12,1kg,14 - 20
2022,feburary,Amla,50,1kg,60 - 83
2022,feburary,Ash gourd,21,1kg,25 - 35
2022,feburary,Baby Corn,56,1kg,67 - 92
2022,feburary,Banana Flower,19,1kg,23 - 31
2022,feburary,Capsicum,42,1kg,50 - 69
2022,feburary,Bitter Gourd,36,1kg,43 - 59
2022,feburary,Bottle Gourd,28,1kg,34 - 46
2022,feburary,Butter Beans,48,1kg,58 - 79
2022,feburary,Broad Beans,47,1kg,56 - 78
2022,feburary,Cabbage,26,1kg,31 - 43
2022,feburary,Carrot,72,1kg,86 - 119
2022,feburary,Cauliflower,43,1kg,52 - 71
2022,feburary,Cluster beans,41,1kg,49 - 68
2022,feburary,Coconut,37,1kg,44 - 61
2022,feburary,Colocasia Leaves,12,1kg,14 - 20
2022,feburary,Colocasia,26,1kg,31 - 43
2022,feburary,Coriander Leaves,11,1kg,13 - 18
2022,feburary,Corn,33,1kg,40 - 54
2022,feburary,Cucumber,15,1kg,18 - 25
2022,feburary,Curry Leaves,40,1kg,48 - 66
2022,feburary,Dill Leaves,16,1kg,19 - 26
2022,feburary,Drumsticks,140,1kg,168 - 231
2022,feburary,Brinjal,29,1kg,35 - 48
2022,feburary,Brinjal (Big),65,1kg,78 - 107
2022,feburary,Elephant Yam,26,1kg,31 - 43
2022,feburary,Fenugreek Leaves,15,1kg,18 - 25
2022,feburary,French Beans,35,1kg,42 - 58
2022,feburary,Garlic,68,1kg,82 - 112
2022,feburary,Ginger,41,1kg,49 - 68
2022,feburary,Onion Green,44,1kg,53 - 73
2022,feburary,Green Peas,48,1kg,58 - 79
2022,feburary,Ivy Gourd,29,1kg,35 - 48
2022,feburary,Lemon (Lime),38,1kg,46 - 63
2022,feburary,Mango Raw,77,1kg,92 - 127
2022,feburary,Mint Leaves,10,1kg,Dec-17
2022,feburary,Mushroom,78,1kg,94 - 129
2022,feburary,Mustard Leaves,17,1kg,20 - 28
2022,feburary,Ladies Finger,59,1kg,71 - 97
2022,feburary,Pumpkin,23,1kg,28 - 38
2022,feburary,Radish,24,1kg,29 - 40
2022,feburary,Ridge Gourd,34,1kg,41 - 56
2022,feburary,Shallot (Pearl Onion),33,1kg,40 - 54
2022,feburary,Snake Gourd,28,1kg,34 - 46
2022,feburary,Sorrel Leaves,10,1kg,Dec-17
2022,feburary,Spinach,12,1kg,14 - 20
2022,feburary,Sweet Potato,37,1kg,44 - 61
2022,feburary,Onion Big,37,1kg,44 - 61
2022,feburary,Onion Small,63,1kg,76 - 104
2022,feburary,Tomato,19,1kg,23 - 31
2022,feburary,Green Chilli,55,1kg,66 - 91
2022,feburary,Beetroot,49,1kg,59 - 81
2022,feburary,Potato,20,1kg,24 - 33
2022,feburary,Raw Banana (Plantain),7,1kg,8-Dec
2022,feburary,Amaranth Leaves,12,1kg,14 - 20
2022,feburary,Amla,50,1kg,60 - 83
2022,feburary,Ash gourd,21,1kg,25 - 35
2022,feburary,Baby Corn,56,1kg,67 - 92
2022,feburary,Banana Flower,19,1kg,23 - 31
2022,feburary,Capsicum,42,1kg,50 - 69
2022,feburary,Bitter Gourd,36,1kg,43 - 59
2022,feburary,Bottle Gourd,28,1kg,34 - 46
2022,feburary,Butter Beans,48,1kg,58 - 79
2022,feburary,Broad Beans,47,1kg,56 - 78
2022,feburary,Cabbage,26,1kg,31 - 43
2022,feburary,Carrot,72,1kg,86 - 119
2022,feburary,Cauliflower,43,1kg,52 - 71
2022,feburary,Cluster beans,41,1kg,49 - 68
2022,feburary,Coconut,37,1kg,44 - 61
2022,feburary,Colocasia Leaves,12,1kg,14 - 20
2022,feburary,Colocasia,26,1kg,31 - 43
2022,feburary,Coriander Leaves,11,1kg,13 - 18
2022,feburary,Corn,33,1kg,40 - 54
2022,feburary,Cucumber,15,1kg,18 - 25
2022,feburary,Curry Leaves,40,1kg,48 - 66
2022,feburary,Dill Leaves,16,1kg,19 - 26
2022,feburary,Drumsticks,140,1kg,168 - 231
2022,feburary,Brinjal,29,1kg,35 - 48
2022,feburary,Brinjal (Big),65,1kg,78 - 107
2022,feburary,Elephant Yam,26,1kg,31 - 43
2022,feburary,Fenugreek Leaves,15,1kg,18 - 25
2022,feburary,French Beans,35,1kg,42 - 58
2022,feburary,Garlic,68,1kg,82 - 112
2022,feburary,Ginger,41,1kg,49 - 68
2022,feburary,Onion Green,44,1kg,53 - 73
2022,feburary,Green Peas,48,1kg,58 - 79
2022,feburary,Ivy Gourd,29,1kg,35 - 48
2022,feburary,Lemon (Lime),38,1kg,46 - 63
2022,feburary,Mango Raw,77,1kg,92 - 127
2022,feburary,Mint Leaves,10,1kg,Dec-17
2022,feburary,Mushroom,78,1kg,94 - 129
2022,feburary,Mustard Leaves,17,1kg,20 - 28
